cue,stim_left,stim_right,feedback,correct,is_valid,loopTraining.thisRepN,loopTraining.thisTrialN,loopTraining.thisN,loopTraining.thisIndex,textWelcome.started,textWelcome.stopped,mouseWelcome.x,mouseWelcome.y,mouseWelcome.leftButton,mouseWelcome.midButton,mouseWelcome.rightButton,mouseWelcome.started,mouseWelcome.stopped,text.started,text.stopped,pic_cue.started,pic_cue.stopped,pic_left.started,pic_left.stopped,pic_right.started,pic_right.stopped,key.x,key.y,key.leftButton,key.midButton,key.rightButton,key.time,key.clicked_name,key.started,key.stopped,key.corr,textFeedback.started,textFeedback.stopped,textGoodbye.started,textGoodbye.stopped,mouseGoodbye.x,mouseGoodbye.y,mouseGoodbye.leftButton,mouseGoodbye.midButton,mouseGoodbye.rightButton,mouseGoodbye.started,mouseGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,21,21,21,,,,,,,,,,105.48166111204773,None,105.99878639495,None,107.00088911689818,None,107.00088911689818,None,-0.178125,-0.2796875,1,0,0,0.9654030601959676,pic_left,1.0121599263511598,None,1,107.97407829994336,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,22,22,22,,,,,,,,,,109.96783037204295,None,110.49742754292674,None,111.50031235604547,None,111.50031235604547,None,-0.1890625,-0.2828125,1,0,0,0.6080873408354819,pic_left,1.0101093724370003,None,1,112.12143897591159,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_right'],['pic_right'],valid,0,23,23,23,,,,,,,,,,114.12643999699503,None,114.649433410028,None,115.64648925489746,None,115.64648925489746,None,0.165625,-0.309375,1,0,0,1.0454689080361277,pic_right,1.0011487265583128,None,1,116.69134750007652,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,24,24,24,,,,,,,,,,118.68755033705384,None,119.21264667296782,None,120.20118593494408,None,120.20118593494408,None,-0.18125,-0.265625,1,0,0,0.7431840780191123,pic_left,1.0007302544545382,None,1,120.94970579794608,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_left'],['pic_right'],invalid,0,25,25,25,,,,,,,,,,122.94720798288472,None,123.47197725693695,None,124.48074296093546,None,124.48074296093546,None,0.209375,-0.2828125,1,0,0,0.8426260619889945,pic_right,1.019077952252701,None,1,125.33167175389826,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,26,26,26,,,,,,,,,,127.32754199788906,None,127.85384039604105,None,128.86067708395422,None,128.86067708395422,None,-0.20625,-0.2796875,1,0,0,0.7624668278731406,pic_left,1.018122734501958,None,1,129.6317545978818,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,27,27,27,,,,,,,,,,131.62834263104014,None,132.15682224486955,None,133.16021483787335,None,133.16021483787335,None,-0.20625,-0.2796875,1,0,0,0.5629614340141416,pic_left,1.0112735494039953,None,1,133.7289575599134,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/round.jpg,images/squared.jpg,['pic_right'],['pic_right'],valid,0,28,28,28,,,,,,,,,,135.72632369189523,None,136.25808208505623,None,137.2605902950745,None,137.2605902950745,None,0.159375,-0.30625,1,0,0,0.8026414338964969,pic_right,1.0088104605674744,None,1,138.06923739402555,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
images/m1.jpg,images/squared.jpg,images/round.jpg,['pic_left'],['pic_left'],valid,0,29,29,29,,,,,,,,,,140.06840022094548,None,140.59105557505973,None,141.60055673890747,None,141.60055673890747,None,-0.1625,-0.29375,1,0,0,0.5637687537819147,pic_left,1.020616692258045,None,1,142.17009304906242,None,,,,,,,,,,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
,,,,,,,,,,,,,,,,,,,144.16627765703015,None,,,,,,,,,,,,,,,,,,,144.6687433840707,None,-0.1625,-0.29375,1,0,0,0.016270239371806383,None,,001,2021_Nov_02_1209,prep_only,2021.2.3,50.80488913211756,
